aload_0,getfield,39
dup,ifnonnull,17
ifnonnull,invokestatic,17
iload,iload,17
iinc,goto,11
getfield,iconst_0,10
istore,iload,10
iconst_0,istore,8
invokestatic,dup,8
invokestatic,invokestatic,8
putstatic,return,8
getfield,iload,7
getfield,iload_2,7
getstatic,dup,7
iload,if_icmpge,7
invokevirtual,return,7
iconst_1,isub,6
invokestatic,invokevirtual,6
newarray,putfield,6
goto,iload,5
iaload,iastore,5
iconst_1,iadd,5
if_icmpge,aload_0,5
ldc,invokestatic,5
new,dup,5
aload_0,invokevirtual,4
aload_0,putstatic,4
aload_1,ldc,4
arraylength,istore,4
getfield,arraylength,4
getfield,iload_3,4
getstatic,areturn,4
getstatic,ireturn,4
iaload,istore,4
iastore,aload_0,4
iastore,iinc,4
iconst_0,aload_0,4
iconst_0,iaload,4
iload,iadd,4
iload,iastore,4
iload_3,iload,4
istore,aload_0,4
istore,iconst_0,4
istore,iload_3,4
istore_2,aload_0,4
putfield,aload_0,4
putfield,return,4
aload,arraylength,3
aload,iload,3
aload_0,aload_1,3
aload_0,checkcast,3
aload_0,getstatic,3
aload_0,iconst_0,3
aload_0,invokespecial,3
aload_1,putfield,3
astore,aload,3
checkcast,invokestatic,3
getfield,areturn,3
getfield,iconst_1,3
getstatic,newarray,3
goto,aload_0,3
goto,iload_3,3
iaload,iload_2,3
iconst_0,newarray,3
iconst_1,istore,3
if_icmpge,aload,3
if_icmpgt,aload_0,3
iload,iaload,3
iload_0,putstatic,3
iload_2,getstatic,3
iload_2,iaload,3
iload_2,istore,3
iload_3,iaload,3
invokestatic,aload_0,3
invokestatic,iconst_0,3
istore,iinc,3
istore,iload_2,3
istore_1,aload_0,3
newarray,invokestatic,3
aload_3,iload,2
dup,invokespecial,2
getstatic,aload_0,2
goto,iload_1,2
iadd,iaload,2
iadd,iconst_1,2
iadd,iload_3,2
iadd,invokestatic,2
iadd,istore,2
iaload,iconst_1,2
iaload,ifeq,2
iaload,invokestatic,2
iastore,iconst_1,2
iastore,iload,2
iconst_1,iaload,2
iconst_1,istore_2,2
idiv,invokestatic,2
if_icmple,aload_0,2
ifeq,aload_0,2
iload,aaload,2
iload,invokestatic,2
iload_1,getstatic,2
iload_1,iastore,2
iload_1,iload,2
iload_1,invokevirtual,2
iload_2,iconst_1,2
iload_2,invokevirtual,2
invokespecial,return,2
invokestatic,astore,2
invokestatic,getstatic,2
invokestatic,iadd,2
invokestatic,iaload,2
invokestatic,iconst_1,2
invokestatic,idiv,2
invokestatic,iload_1,2
invokestatic,iload_2,2
invokestatic,iload_3,2
invokestatic,istore,2
invokestatic,newarray,2
invokevirtual,iinc,2
invokevirtual,istore_1,2
invokevirtual,ldc,2
istore,invokestatic,2
istore_1,goto,2
istore_3,aload_0,2
istore_3,iconst_1,2
istore_3,iload_2,2
isub,iaload,2
isub,invokestatic,2
ldc,invokevirtual,2
aaload,astore,1
aaload,dup,1
aaload,invokestatic,1
aastore,aload_3,1
aconst_null,invokespecial,1
aload,dup,1
aload,invokevirtual,1
aload_0,iload_1,1
aload_0,iload_2,1
aload_0,ldc,1
aload_1,arraylength,1
aload_1,iconst_0,1
aload_3,astore,1
anewarray,astore_3,1
arraylength,iconst_1,1
arraylength,ifle,1
arraylength,invokestatic,1
arraylength,istore_2,1
arraylength,istore_3,1
astore,getstatic,1
astore,iinc,1
astore,nop,1
astore_3,iconst_0,1
bipush,if_icmple,1
bipush,invokestatic,1
checkcast,invokespecial,1
dup,aconst_null,1
dup,iconst_0,1
dup,new,1
dup2,dup2,1
dup2,iaload,1
