13:34:42.128 [main] ERROR o.a.jitwatch.loader.BytecodeLoader - could not parse bytecode: '}'
13:34:42.152 [main] ERROR o.a.jitwatch.loader.BytecodeLoader - could not parse bytecode: '}'
aload_0,45
invokevirtual,35
invokespecial,25
getfield,23
dup,15
iconst_0,14
iconst_1,14
ldc,14
getstatic,13
invokestatic,13
areturn,12
aload,11
return,11
new,11
goto,10
iload,9
iload_1,9
iload_2,9
astore,9
aconst_null,8
iload_3,8
aload_1,8
aload_2,8
iadd,8
ifeq,8
istore,7
checkcast,7
astore_2,6
iconst_2,5
isub,5
putfield,5
iconst_4,4
istore_1,4
iand,4
ireturn,4
putstatic,4
invokeinterface,4
bipush,3
aaload,3
astore_1,3
pop,3
if_icmpge,3
iconst_3,2
aload_3,2
istore_2,2
istore_3,2
astore_3,2
aastore,2
idiv,2
iinc,2
ifne,2
if_icmpgt,2
anewarray,2
arraylength,2
ifnull,2
ifnonnull,2
nop,1
ldc2_w,1
astore_0,1
imul,1
ishl,1
if_icmpeq,1
if_acmpeq,1
instanceof,1
