13:34:29.452 [main] ERROR o.a.jitwatch.loader.BytecodeLoader - could not parse bytecode: '}'
13:34:29.507 [main] ERROR o.a.jitwatch.loader.BytecodeLoader - could not parse bytecode: '}'
aload_0,29
invokevirtual,25
getstatic,17
invokespecial,17
invokestatic,11
iconst_1,9
iload,9
aload,9
iload_1,9
iload_2,9
iadd,9
return,9
getfield,9
aconst_null,8
ldc,8
dup,8
astore,7
new,7
iconst_0,6
iconst_2,6
iload_3,6
istore,6
goto,6
isub,5
putfield,5
istore_1,4
if_icmpge,4
putstatic,3
invokeinterface,3
checkcast,3
iconst_3,2
aload_1,2
aload_2,2
aaload,2
istore_2,2
istore_3,2
idiv,2
iand,2
iinc,2
ifeq,2
if_icmpgt,2
ireturn,2
areturn,2
arraylength,2
ifnonnull,2
iconst_4,1
ldc2_w,1
aload_3,1
astore_0,1
astore_1,1
astore_2,1
aastore,1
pop,1
ishl,1
if_icmpeq,1
anewarray,1
