13:36:45.811 [main] ERROR o.a.jitwatch.loader.BytecodeLoader - could not parse bytecode: '}'
13:36:45.866 [main] ERROR o.a.jitwatch.loader.BytecodeLoader - could not parse bytecode: '}'
invokevirtual,91
aload_0,41
dload,40
aload,35
ldc2_w,34
dmul,31
aload_2,29
iload,27
dup,25
dstore,21
return,20
getfield,19
dload_1,16
dadd,16
invokespecial,16
iconst_0,15
istore,14
aaload,13
aload_1,12
putfield,11
dsub,10
new,9
dconst_0,8
dreturn,8
getstatic,8
aload_3,7
aastore,7
iinc,7
if_icmpge,7
goto,7
invokestatic,7
areturn,6
nop,5
iconst_1,5
dload_3,5
astore,5
istore_3,5
astore_1,5
astore_2,5
ddiv,5
iconst_5,4
ldc,4
dstore_1,4
dstore_3,4
astore_3,3
pop,3
dneg,3
putstatic,3
anewarray,3
aconst_null,2
iconst_4,2
iadd,2
arraylength,2
iconst_2,1
iconst_3,1
iload_2,1
istore_2,1
astore_0,1
